"Year"	"Sample Date"	"Plot"	"Heat Treatment"	"Species"	"Mass (g/m2)"
2007	8/28/2007 0:00	78	Low	Poa pratensis	0.9
2007	8/28/2007 0:00	78	Low	Schizachyrium scoparium	10.83
2007	8/28/2007 0:00	78	Low	Solidago nemoralis	3.43
2007	8/28/2007 0:00	78	Low	Solidago rigida	9.47
2007	8/20/2007 0:00	82	Control	Unsorted biomass	230.83
2007	8/28/2007 0:00	82	High	Achillea millefolium(lanulosa)	0.33
2007	8/28/2007 0:00	82	High	Agropyron repens	0.07
2007	8/28/2007 0:00	82	High	Andropogon gerardi	136.63
2007	8/28/2007 0:00	82	High	Lespedeza capitata	16.13
2007	8/28/2007 0:00	82	High	Liatris aspera	15.13
2007	8/28/2007 0:00	82	High	Lupinus perennis	45.7
2007	8/28/2007 0:00	82	High	Panicum virgatum	0.47
2007	8/28/2007 0:00	82	High	Poa pratensis	11.6
2007	8/28/2007 0:00	82	High	Schizachyrium scoparium	27.1
2007	8/28/2007 0:00	82	High	Solidago rigida	0.93
2007	8/28/2007 0:00	82	High	Sorghastrum nutans	0.5
2007	8/28/2007 0:00	82	Low	Achillea millefolium(lanulosa)	0.13
2007	8/28/2007 0:00	82	Low	Agropyron repens	0.6
2007	8/28/2007 0:00	82	Low	Andropogon gerardi	61.8
2007	8/28/2007 0:00	82	Low	Liatris aspera	3.73
2007	8/28/2007 0:00	82	Low	Lupinus perennis	80.1
2007	8/28/2007 0:00	82	Low	Panicum virgatum	2.4
2007	8/28/2007 0:00	82	Low	Poa pratensis	22.67
2007	8/28/2007 0:00	82	Low	Schizachyrium scoparium	69.7
2007	8/28/2007 0:00	82	Low	Solidago rigida	1.53
2007	8/28/2007 0:00	82	Low	Sorghastrum nutans	10.9
2007	8/21/2007 0:00	83	Control	Unsorted biomass	163.38
2007	8/23/2007 0:00	83	High	Achillea millefolium(lanulosa)	0.07
2007	8/23/2007 0:00	83	High	Agropyron repens	16.8
2007	8/23/2007 0:00	83	High	Aristida basiramea	1.87
2007	8/23/2007 0:00	83	High	Crepis tectorum	0.53
2007	8/23/2007 0:00	83	High	Cyperus sp.	0.47
2007	8/23/2007 0:00	83	High	Erigeron canadensis	1.37
2007	8/23/2007 0:00	83	High	Euphorbia glyptosperma	0.15
2007	8/23/2007 0:00	83	High	Hieracium aurantiacum	0.53
2007	8/23/2007 0:00	83	High	Lepidium densiflorum	0
2007	8/23/2007 0:00	83	High	Lespedeza capitata	0.9
2007	8/23/2007 0:00	83	High	Lupinus perennis	28.77
2007	8/23/2007 0:00	83	High	Panicum oligosanthes	2.07
2007	8/23/2007 0:00	83	High	Polygonum convolvulus	0.1
2007	8/23/2007 0:00	83	High	Rumex acetosella	1.9
2007	8/23/2007 0:00	83	High	Sorghastrum nutans	0.13
2007	8/23/2007 0:00	83	High	Taraxicum officinalis	0.5
2007	8/30/2007 0:00	83	Low	Achillea millefolium(lanulosa)	0.05
2007	8/30/2007 0:00	83	Low	Agropyron repens	64.47
2007	8/30/2007 0:00	83	Low	Aristida basiramea	0.4
2007	8/30/2007 0:00	83	Low	Crepis tectorum	0.1
2007	8/30/2007 0:00	83	Low	Cyperus sp.	3.37
2007	8/30/2007 0:00	83	Low	Erigeron canadensis	0.7
2007	8/30/2007 0:00	83	Low	Euphorbia glyptosperma	0.17
2007	8/30/2007 0:00	83	Low	Lepidium densiflorum	0.17
2007	8/30/2007 0:00	83	Low	Lespedeza capitata	1.67
2007	8/30/2007 0:00	83	Low	Lupinus perennis	94.5
2007	8/30/2007 0:00	83	Low	Polygonum convolvulus	0.13
2007	8/21/2007 0:00	105	Control	Unsorted biomass	165.1
2007	8/23/2007 0:00	105	High	Andropogon gerardi	3.87
2007	8/23/2007 0:00	105	High	Bouteloua gracilis	4.73
